Cerezo FC|1
CD Relojeros|1
CA Trigal|1
Atlético Sudowoodo|1
Deportivo Olívico|1
ADV Kabuki|1
Sporting Dragonite|1
Gyarados FC|1
UD Volcánica|1
UD Glaciar|1
CA Islas Remolino|1
CD Céfiro|1
Arcoíris AD|1
Zidra Shuckle|1
Cristalera de Iris|1
SCD Pluma Blanca|1
AC Azumarill|1
Parque Nacional SC|1
CP Planicie|1
Sakura Atlético|1
CA Vivero|2
Deportes Viento Norteño|2
Insectario Antón|2
CA Yerbabuena|2
CS Magnético|2
SD Mortero|2
AD Bellsprout|2
CP Durazno|2
CD Pyrus|2
Independiente Primavera|2
Imperial de Endrino|2
CF Trueno|2
AD Club Safari|2
BP Quercus|2
CD Orquídea|2
Monte Plateado FC|2
SD Scyther|2
CA Montañero de Endrino|2
GD Farense|2
Estudiantes de Cerezo|2
SD Caoba Shinobi|3
CF Piloswine|3
Radio Trigal|3
CD Azalea|3
Alfabeto RACF|3
CD Houndoom|3
Liga Deportiva de Iris|3
Banana Atlético|3
Marítimo Sakura|3
SD Tauros|3
ED Cedro|3
Mineral CF|3
Pegaso de Malva|3
CD Mirto|3
Jynx Deportivo|3
AV Roca Roja|3
Sports Volcánico|3
AC Rikishii|3
JD Poliwrath|3
SCD Aníbal Barca|3
Atlético Ampharos|3
SD Ciruelo|3
New Bark SC|3
Melocotón CA|3
San Antonio Deportivo|3
SD Escarlata|3
SC Mistrío|3
CA Gligar|3
Arroceros CF|3
CR Exploradores|4
Club Olívico|4
Burbujas SDyC|4
Serpefierro CF|4
CA Tempestad|4
CD Catalia|4
Atlético Hitmontop|4
JD Crobat|4
Atlético Ursaring|4
CD Noctowl|4
Atlético de la Y|4
AD Terramusiana|4
Cultural de la 35|4
IA Azulejo|4
Atlético Torre Quemada|4
CD Bergamotero|4
CDA Débora Draco|4
Hércules de la Ladera|5
Atlético Florando|5
SD Wobbuffet|5
Gimnasio de las Alas|5
CD Rafael Alvear|5
Deportivo Florista|5
Marítimo Cuadragésimo|5
AC Seiscuadrado|5
Club Naval de Olivo|5
Deportivo Ébano|5
